																																																																			
Income from indivduals from 2001 to 2021																																																																			
																																																																			
	2001			2002			2003			2004			2005			2006			2007			2008			2009				2010			2011			2012			2013			2014			2015			2016			2017			2018				2019			2020			2021				
taxable income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Taxable Income	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)	Number of People	Taxable Income ($M)	Tax Assessed ($M)		
																												"bands to $300,000"																																							
																																																																			
"$134,001 - $135,000"	630	84.8	27.6	420	56.5	18.4	400	53.8	17.5	550	73.9	24.0	690	92.8	30.2	860	115.7	37.6	950	127.8	41.6	"1,050"	141.2	45.9	"1,050"	141.2	45.1	"$134,001 - $135,000"	"1,260"	169.5	51.2	"1,020"	137.2	38.8	"1,270"	170.8	44.8	"1,920"	258.3	67.8	"1,950"	262.3	68.8	"2,130"	286.7	75.3	"2,250"	302.7	79.2	"2,490"	335.1	87.5	"2,690"	361.7	95.0	"$134,001 - $135,000"	"3,040"	409.5	107.5	"3,400"	457.6	120.1	"3,660"	492.6	129.3		
"$135,001 - $136,000"	420	56.9	18.5	430	58.2	19.0	500	67.8	22.1	630	85.4	27.8	630	85.4	27.8	810	109.8	35.8	550	74.5	24.3	850	115.2	37.5	"1,350"	182.8	58.5	"$135,001 - $136,000"	"1,210"	164.0	49.7	"1,460"	197.8	56.0	"1,560"	211.4	55.6	"1,940"	262.9	69.2	"1,860"	252.1	66.3	"2,020"	273.6	72.0	"2,160"	292.5	76.7	"2,440"	331.2	86.7	"2,630"	356.1	93.6	"$135,001 - $136,000"	"2,830"	382.8	100.7	"3,160"	428.0	112.6	"3,540"	480.1	126.3		
"$136,001 - $137,000"	430	58.7	19.1	470	64.2	20.9	340	46.4	15.1	460	62.8	20.5	560	76.4	24.9	730	99.7	32.5	840	114.7	37.4	880	120.1	39.2	890	121.4	38.9	"$136,001 - $137,000"	"1,130"	154.3	46.8	"1,240"	169.3	48.0	"1,670"	228.0	60.1	"1,790"	244.3	64.4	"2,000"	273.0	71.9	"1,670"	227.8	60.0	"2,050"	280.0	73.6	"2,240"	305.8	80.4	"2,430"	332.2	87.5	"$136,001 - $137,000"	"2,730"	372.9	98.3	"3,190"	435.0	114.6	"3,400"	464.5	122.4		
"$137,001 - $138,000"	290	39.9	13.0	580	79.8	26.0	340	46.8	15.3	520	71.5	23.3	610	83.9	27.4	620	85.2	27.8	850	116.9	38.2	950	130.7	42.7	910	125.1	40.2	"$137,001 - $138,000"	"1,120"	154.0	46.8	"1,410"	193.9	55.1	"1,110"	152.7	40.3	"1,720"	236.3	62.4	"1,520"	209.0	55.2	"1,980"	272.2	71.8	"2,010"	276.2	72.4	"2,260"	310.9	81.8	"2,490"	341.7	90.2	"$137,001 - $138,000"	"2,640"	363.6	96.0	"3,140"	432.2	114.1	"3,380"	465.0	122.7		
"$138,001 - $139,000"	330	45.7	14.9	410	56.8	18.6	490	67.9	22.2	590	81.7	26.7	380	52.6	17.2	680	94.2	30.8	740	102.5	33.5	810	112.2	36.7	650	90.0	29.0	"$138,001 - $139,000"	"1,170"	162.0	49.3	860	119.1	33.9	"1,760"	243.8	64.5	"1,680"	232.6	61.5	"1,360"	188.4	49.8	"1,630"	225.7	59.7	"2,010"	278.2	73.4	"2,040"	282.9	74.6	"2,380"	329.3	87.1	"$138,001 - $139,000"	"2,570"	355.9	94.1	"2,920"	405.0	107.1	"3,160"	437.9	115.8		
"$139,001 - $140,000"	430	60.0	19.6	320	44.6	14.6	430	60.0	19.6	920	128.4	42.0	620	86.5	28.3	780	108.9	35.6	970	135.3	44.3	770	107.4	35.2	"1,000"	139.5	44.9	"$139,001 - $140,000"	"1,070"	149.3	45.6	"1,120"	156.3	44.5	"1,370"	191.2	50.7	"1,460"	203.7	54.0	"1,700"	237.2	62.9	"2,350"	327.9	86.9	"2,040"	285.2	75.3	"2,210"	308.8	81.7	"2,530"	353.2	93.6	"$139,001 - $140,000"	"2,750"	383.4	101.6	"3,040"	424.3	112.4	"3,270"	456.1	120.8		
"$140,001 - $141,000"	280	39.3	12.9	540	75.9	24.9	720	101.1	33.2	460	64.6	21.2	500	70.2	23.0	520	73.0	23.9	720	101.2	33.2	700	98.4	32.2	930	130.7	42.2	"$140,001 - $141,000"	890	125.0	38.2	"1,000"	140.5	40.1	"1,390"	195.2	51.8	"1,060"	148.9	39.5	"1,860"	261.4	69.4	"1,950"	274.0	72.7	"2,000"	280.3	74.1	"2,210"	309.8	81.9	"2,420"	340.1	90.2	"$140,001 - $141,000"	"2,720"	381.4	101.2	"2,950"	414.7	110.0	"3,440"	482.6	128.1		
"$141,001 - $142,000"	580	82.1	26.9	460	65.1	21.4	370	52.4	17.2	500	70.7	23.2	550	77.9	25.6	520	73.6	24.2	730	103.3	33.9	770	109.0	35.8	880	124.4	40.2	"$141,001 - $142,000"	880	124.5	38.1	"1,050"	148.6	42.5	"1,160"	164.1	43.6	"1,370"	193.8	51.5	"1,540"	218.0	58.0	"1,330"	188.3	50.0	"1,860"	263.1	69.7	"2,060"	291.4	77.3	"2,210"	312.3	83.0	"$141,001 - $142,000"	"2,430"	344.4	91.6	"2,790"	395.1	105.0	"2,950"	417.6	111.0		
"$142,001 - $143,000"	360	51.3	16.9	370	52.7	17.3	350	49.9	16.4	400	57.0	18.7	300	42.7	14.0	440	62.8	20.6	630	89.8	29.5	640	91.2	30.0	"1,050"	149.7	48.4	"$142,001 - $143,000"	"1,030"	146.8	45.0	910	129.6	37.1	850	121.1	32.3	910	129.7	34.5	"1,490"	212.4	56.5	"1,360"	194.0	51.7	"1,820"	260.0	68.8	"1,920"	274.2	72.9	"2,160"	307.8	82.0	"$142,001 - $143,000"	"2,370"	337.4	89.9	"2,810"	400.9	106.7	"2,840"	404.8	107.8		
"$143,001 - $144,000"	550	79.0	26.0	430	61.7	20.3	440	63.1	20.8	310	44.5	14.6	490	70.3	23.2	700	100.5	33.1	690	99.0	32.6	740	106.2	34.9	760	109.0	35.3	"$143,001 - $144,000"	770	110.5	33.9	"1,500"	215.2	61.8	"1,300"	186.6	49.8	"1,240"	177.9	47.5	"1,850"	265.5	70.8	"1,560"	223.9	59.7	"1,790"	257.3	68.2	"1,910"	274.7	73.2	"2,130"	304.9	81.3	"$143,001 - $144,000"	"2,310"	331.5	88.4	"2,650"	380.6	101.5	"2,820"	404.0	107.7		
"$144,001 - $145,000"	350	50.6	16.6	350	50.6	16.7	470	67.9	22.4	450	65.0	21.4	630	91.0	30.0	270	39.0	12.9	840	121.3	40.0	770	111.2	36.7	940	135.8	44.1	"$144,001 - $145,000"	740	107.0	32.9	880	127.2	36.6	"1,340"	193.7	51.7	"1,850"	267.3	71.4	"1,290"	186.3	49.8	"1,660"	239.9	64.1	"1,770"	255.2	68.0	"1,890"	272.6	72.5	"2,140"	309.4	82.7	"$144,001 - $145,000"	"2,340"	337.5	90.2	"2,690"	388.3	103.7	"2,910"	419.8	112.2		
"$145,001 - $146,000"	280	40.7	13.4	490	71.3	23.5	340	49.5	16.3	330	48.0	15.8	420	61.1	20.2	490	71.3	23.5	550	80.0	26.4	730	106.2	35.0	890	129.5	42.1	"$145,001 - $146,000"	740	107.7	33.2	980	142.5	41.0	"1,030"	149.8	40.1	"1,250"	181.9	48.7	"1,390"	202.2	54.1	"1,620"	235.8	63.1	"1,730"	252.3	67.4	"1,810"	263.9	70.5	"1,960"	285.5	76.4	"$145,001 - $146,000"	"2,260"	328.4	87.9	"2,580"	374.8	100.3	"2,740"	398.4	106.6		
"$146,001 - $147,000"	250	36.6	12.1	320	46.9	15.5	330	48.3	16.0	400	58.6	19.4	520	76.1	25.2	490	71.8	23.7	570	83.5	27.6	830	121.6	40.2	890	130.3	42.4	"$146,001 - $147,000"	730	107.0	33.0	"1,140"	167.0	48.1	"1,120"	164.2	44.0	"1,020"	149.4	40.0	"1,590"	233.0	62.5	"1,630"	238.8	64.0	"1,690"	246.9	65.9	"1,730"	252.9	67.6	"1,930"	282.5	75.7	"$146,001 - $147,000"	"2,190"	320.8	86.0	"2,490"	364.2	97.6	"2,740"	400.8	107.4		
"$147,001 - $148,000"	330	48.7	16.1	390	57.5	19.0	370	54.6	18.1	470	69.4	22.9	450	66.4	22.0	770	113.5	37.5	710	104.8	34.7	610	89.9	29.8	950	140.2	45.7	"$147,001 - $148,000"	940	138.6	42.9	860	126.9	36.7	"1,190"	175.5	47.1	"1,180"	174.1	46.7	"1,530"	225.8	60.6	"1,520"	224.1	60.2	"1,600"	236.2	63.2	"1,730"	254.9	68.1	"1,960"	289.4	77.7	"$147,001 - $148,000"	"2,210"	325.4	87.3	"2,500"	368.6	98.9	"2,540"	374.5	100.5		
"$148,001 - $149,000"	210	31.2	10.3	470	69.8	23.1	480	71.3	23.6	360	53.4	17.7	550	81.7	27.1	400	59.4	19.7	520	77.2	25.6	740	110.0	36.4	600	89.0	29.0	"$148,001 - $149,000"	580	86.1	26.7	700	103.9	30.1	770	114.3	30.7	"1,280"	190.2	51.1	"1,500"	222.7	59.9	"1,280"	190.0	51.1	"1,560"	231.1	61.9	"1,730"	256.8	68.9	"1,850"	274.7	73.9	"$148,001 - $149,000"	"2,140"	317.7	85.4	"2,400"	357.0	96.0	"2,480"	368.0	98.9		
"$149,001 - $150,000"	400	59.8	19.8	460	68.8	22.8	400	59.8	19.8	210	31.4	10.4	370	55.3	18.4	650	97.2	32.2	500	74.8	24.8	860	128.6	42.6	"1,220"	182.4	59.6	"$149,001 - $150,000"	"1,140"	170.4	52.8	"1,090"	163.0	47.2	"1,390"	207.9	56.0	"1,180"	176.6	47.6	"1,750"	261.8	70.5	"1,960"	293.2	78.9	"1,860"	278.8	75.0	"2,010"	301.0	80.9	"2,230"	333.8	89.9	"$149,001 - $150,000"	"2,410"	360.8	97.2	"2,700"	403.2	108.6	"2,790"	417.4	112.4		
"$150,001 - $155,000"	"1,550"	236.3	78.6	"1,740"	265.1	88.2	"1,560"	237.4	79.0	"1,860"	283.7	94.4	"2,080"	317.0	105.5	"2,350"	358.7	119.4	"2,720"	413.8	137.7	"3,160"	481.8	160.3	"3,480"	530.9	174.1	"$150,001 - $151,000"	940	141.4	43.9	800	120.4	34.9	"1,260"	189.6	51.1	"1,300"	195.6	52.7	"1,280"	192.6	51.9	"1,610"	242.3	65.3	"1,620"	243.2	65.3	"1,810"	272.5	73.3	"1,970"	296.3	79.9	"$150,001 - $151,000"	"2,130"	320.4	86.4	"2,640"	397.2	107.1	"2,830"	426.4	115.0		
"$155,001 - $160,000"	"1,590"	250.6	83.9	"1,310"	206.3	69.0	"1,410"	221.8	74.2	"1,770"	278.6	93.2	"1,940"	305.5	102.2	"1,810"	284.8	95.3	"2,440"	384.5	128.7	"3,240"	510.0	170.6	"3,200"	503.8	166.2	"$151,001 - $152,000"	690	104.6	32.5	"1,030"	156.0	45.3	"1,030"	156.1	42.2	"1,200"	181.8	49.1	"1,080"	163.5	44.2	"1,530"	231.9	62.6	"1,480"	223.8	60.1	"1,550"	234.2	63.2	"1,760"	266.5	72.0	"$151,001 - $152,000"	"1,910"	289.4	78.1	"2,240"	340.0	91.8	"2,460"	373.2	100.8		
"$160,001 - $165,000"	990	160.8	54.1	"1,230"	200.0	67.3	"1,330"	216.0	72.6	"1,140"	185.1	62.2	"1,790"	290.9	97.8	"1,420"	230.9	77.7	"1,920"	312.5	105.1	"2,580"	418.7	140.8	"2,800"	454.9	150.9	"$152,001 - $153,000"	890	135.7	42.3	720	109.9	32.0	940	143.4	38.8	"1,180"	179.9	48.6	"1,380"	210.5	56.9	"1,460"	222.8	60.3	"1,480"	226.3	61.0	"1,580"	240.7	64.7	"1,750"	267.0	72.2	"$152,001 - $153,000"	"1,950"	298.0	80.6	"2,170"	330.2	89.3	"2,390"	364.5	98.6		
"$165,001 - $170,000"	"1,170"	196.0	66.2	"1,050"	175.8	59.4	"1,140"	191.2	64.6	"1,590"	266.1	89.9	"1,300"	217.7	73.5	"1,820"	304.6	102.9	"1,820"	305.3	103.2	"2,420"	405.3	136.9	"2,540"	424.9	141.7	"$153,001 - $154,000"	880	135.1	42.1	680	104.3	30.4	950	145.8	39.5	"1,110"	170.4	46.2	"1,290"	198.0	53.6	"1,320"	202.6	54.9	"1,410"	216.0	58.4	"1,520"	232.7	62.8	"1,700"	261.3	70.8	"$153,001 - $154,000"	"1,860"	284.7	77.1	"2,110"	323.4	87.6	"2,200"	337.2	91.3		
"$170,001 - $175,000"	"1,050"	181.3	61.5	"1,070"	184.5	62.6	930	160.4	54.4	"1,200"	206.9	70.2	"1,590"	274.2	93.1	"2,110"	364.0	123.5	"1,560"	269.3	91.4	"2,090"	360.3	122.3	"1,970"	339.7	113.9	"$154,001 - $155,000"	800	123.6	38.6	610	94.2	27.5	"1,080"	166.9	45.3	970	149.9	40.6	860	132.9	36.0	"1,390"	214.7	58.2	"1,360"	210.2	56.9	"1,580"	243.4	66.0	"1,710"	264.5	71.8	"$154,001 - $155,000"	"1,910"	294.5	79.9	"2,090"	322.8	87.5	"2,170"	335.3	90.9		
"$175,001 - $180,000"	750	132.8	45.2	"1,120"	198.9	67.8	"1,090"	193.4	65.9	"1,240"	220.1	75.0	"1,160"	205.8	70.2	"1,500"	266.0	90.6	"1,540"	273.2	93.1	"1,670"	296.3	101.0	"2,190"	388.6	130.8	"$155,001 - $156,000"	610	94.8	29.7	"1,060"	164.8	48.2	750	116.6	31.7	"1,150"	178.9	48.6	"1,060"	164.9	44.8	"1,410"	219.2	59.5	"1,430"	223.0	60.4	"1,530"	237.6	64.3	"1,610"	249.8	67.8	"$155,001 - $156,000"	"1,780"	277.3	75.3	"2,040"	317.4	86.2	"2,220"	345.7	93.9		
"$180,001 - $185,000"	"1,000"	182.3	62.3	"1,000"	182.2	62.3	980	178.5	61.0	"1,130"	205.8	70.4	"1,170"	213.5	73.0	"1,320"	241.2	82.5	"1,800"	329.0	112.6	"1,540"	281.0	96.2	"2,150"	391.9	132.5	"$156,001 - $157,000"	720	112.6	35.3	710	111.2	32.6	860	134.6	36.6	880	137.7	37.5	820	128.3	34.9	"1,100"	172.2	46.9	"1,260"	197.8	53.7	"1,450"	226.9	61.5	"1,490"	233.3	63.5	"$156,001 - $157,000"	"1,720"	269.6	73.3	"1,880"	294.7	80.1	"2,130"	333.7	90.8		
"$185,001 - $190,000"	700	131.5	45.2	900	168.6	57.9	820	153.5	52.7	"1,030"	192.9	66.3	"1,340"	251.1	86.2	"1,210"	226.9	77.9	"1,430"	267.9	92.0	"1,640"	307.2	105.5	"1,690"	316.3	107.4	"$157,001 - $158,000"	690	108.6	34.1	520	81.9	24.0	560	88.2	24.0	860	135.5	36.9	"1,010"	159.1	43.3	"1,260"	198.5	54.1	"1,270"	199.7	54.1	"1,380"	217.2	58.9	"1,560"	245.9	67.0	"$157,001 - $158,000"	"1,720"	270.2	73.6	"1,950"	307.8	83.8	"2,120"	333.4	90.8		
"$190,001 - $195,000"	600	115.5	39.8	600	115.8	39.9	700	134.9	46.5	940	180.9	62.3	"1,030"	198.3	68.3	"1,130"	217.5	75.0	"1,000"	192.5	66.3	"1,380"	265.5	91.5	"1,620"	312.1	106.4	"$158,001 - $159,000"	600	95.1	29.9	440	69.7	20.4	740	117.3	32.0	950	150.6	41.1	"1,000"	158.5	43.2	"1,200"	190.3	51.9	"1,290"	204.3	55.6	"1,340"	212.1	57.4	"1,490"	236.5	64.5	"$158,001 - $159,000"	"1,630"	257.9	70.3	"1,920"	303.8	82.9	"2,010"	317.9	86.7		
"$195,001 - $200,000"	500	98.6	34.1	630	124.3	43.0	940	185.9	64.3	770	152.5	52.8	820	161.6	55.9	"1,140"	225.1	77.8	"1,220"	241.0	83.3	"1,180"	233.1	80.6	"1,290"	254.8	87.2	"$159,001 - $160,000"	610	97.3	30.6	510	81.4	23.9	860	137.1	37.4	"1,230"	196.1	53.5	"1,310"	209.0	57.1	"1,290"	205.8	56.2	"1,350"	214.9	58.6	"1,500"	239.3	65.2	"1,500"	239.8	65.5	"$159,001 - $160,000"	"1,750"	278.4	76.0	"1,970"	314.5	85.9	"2,080"	331.6	90.6		
"$200,001 - $205,000"	460	93.1	32.3	600	121.5	42.2	860	174.2	60.4	890	180.4	62.6	730	147.9	51.3	"1,230"	248.7	86.3	"1,110"	224.6	77.9	"1,110"	224.6	77.9	"1,480"	300.1	103.0	"$160,001 - $161,000"	720	115.5	36.4	730	117.1	34.5	820	131.7	36.0	"1,070"	171.8	47.0	980	157.3	43.0	"1,050"	168.5	46.1	"1,190"	191.3	52.3	"1,310"	210.4	57.4	"1,430"	230.1	62.9	"$160,001 - $161,000"	"1,720"	276.7	75.7	"1,920"	307.3	84.0	"2,110"	338.9	92.7		
"$205,001 - $210,000"	410	85.2	29.6	460	95.5	33.2	500	103.8	36.1	750	155.6	54.1	770	160.0	55.7	800	166.0	57.8	960	199.2	69.3	"1,200"	249.2	86.7	"1,290"	267.5	92.1	"$161,001 - $162,000"	540	87.2	27.5	930	150.2	44.2	740	119.5	32.7	830	134.1	36.7	910	146.9	40.2	"1,280"	206.7	56.6	"1,130"	182.0	49.7	"1,260"	204.0	55.6	"1,380"	223.2	61.1	"$161,001 - $162,000"	"1,540"	248.4	68.0	"1,700"	273.7	74.9	"2,000"	323.0	88.4		
"$210,001 - $215,000"	280	59.5	20.7	480	102.0	35.6	710	150.8	52.6	800	170.2	59.4	690	146.4	51.1	"1,000"	212.7	74.2	960	204.1	71.2	"1,180"	250.6	87.4	"1,130"	240.4	83.1	"$162,001 - $163,000"	510	82.9	26.2	570	92.6	27.3	630	102.4	28.1	"1,060"	172.3	47.2	990	160.9	44.1	930	151.1	41.4	"1,150"	186.4	51.1	"1,280"	207.2	56.7	"1,400"	228.1	62.5	"$162,001 - $163,000"	"1,550"	252.0	69.1	"1,760"	286.3	78.5	"1,860"	302.4	82.9		
"$215,001 - $220,000"	580	126.0	44.1	550	119.6	41.8	450	97.8	34.2	620	134.9	47.2	620	134.9	47.2	620	134.9	47.2	"1,160"	252.1	88.2	930	202.0	70.7	940	204.4	70.8	"$163,001 - $164,000"	430	70.3	22.2	460	75.3	22.2	680	111.2	30.5	"1,120"	183.1	50.3	"1,070"	174.9	48.0	770	125.9	34.6	"1,100"	180.3	49.2	"1,240"	202.1	55.4	"1,290"	210.9	57.9	"$163,001 - $164,000"	"1,460"	237.9	65.3	"1,700"	278.6	76.5	"1,810"	296.3	81.3		
"$220,001 - $225,000"	460	102.4	35.9	500	111.2	39.0	510	113.3	39.7	550	122.4	42.9	670	149.2	52.4	810	180.4	63.3	760	169.1	59.3	840	187.0	65.6	820	182.5	63.4	"$164,001 - $165,000"	780	128.4	40.6	640	105.3	31.1	520	85.5	23.5	950	156.4	43.0	750	123.4	33.9	"1,220"	200.7	55.2	"1,140"	188.2	51.5	"1,230"	202.7	55.7	"1,330"	218.7	60.1	"$164,001 - $165,000"	"1,540"	253.4	69.6	"1,700"	279.2	76.7	"1,810"	297.3	81.7		
"$225,001 - $230,000"	310	70.5	24.8	440	100.1	35.2	380	86.5	30.4	300	68.3	24.0	530	120.6	42.4	860	195.6	68.8	840	191.0	67.2	930	211.6	74.4	670	152.3	53.0	"$165,001 - $166,000"	580	96.0	30.4	700	115.9	34.3	710	117.5	32.3	550	91.0	25.0	760	125.8	34.6	"1,350"	223.5	61.5	"1,080"	178.6	49.0	"1,190"	196.6	54.0	"1,230"	202.9	55.8	"$165,001 - $166,000"	"1,420"	234.8	64.6	"1,640"	271.9	74.8	"1,780"	293.7	80.8		
"$230,001 - $235,000"	400	93.0	32.8	470	109.2	38.5	370	86.0	30.3	460	106.9	37.7	500	116.3	41.0	530	123.2	43.4	780	181.3	63.9	720	167.0	58.9	880	204.6	71.5	"$166,001 - $167,000"	580	96.6	30.6	570	94.9	28.1	550	91.6	25.2	950	158.1	43.6	720	119.8	33.0	930	154.8	42.7	"1,080"	180.0	49.6	"1,180"	196.7	54.1	"1,220"	202.6	55.8	"$166,001 - $167,000"	"1,390"	230.8	63.6	"1,600"	266.2	73.3	"1,680"	279.1	76.9		
"$235,001 - $240,000"	320	75.9	26.8	320	75.9	26.8	480	113.6	40.1	450	106.9	37.8	380	90.3	31.9	480	113.9	40.2	680	161.7	57.1	760	180.5	63.8	840	199.8	70.0	"$167,001 - $168,000"	580	97.2	30.9	730	122.3	36.3	780	130.6	36.0	860	144.0	39.7	940	157.4	43.4	760	127.3	35.1	"1,090"	181.9	50.1	"1,140"	191.0	52.6	"1,310"	219.8	60.6	"$167,001 - $168,000"	"1,310"	219.4	60.5	"1,460"	244.2	67.4	"1,650"	275.7	76.0		
"$240,001 - $245,000"	410	99.3	35.1	390	94.6	33.5	450	109.0	38.6	460	111.7	39.5	430	104.3	36.9	450	109.3	38.7	490	118.8	42.1	720	174.8	61.9	850	206.0	72.3	"$168,001 - $169,000"	410	69.1	22.0	640	107.9	32.1	600	101.1	27.9	720	121.3	33.5	"1,160"	195.4	54.0	850	143.2	39.6	"1,050"	176.9	48.7	"1,080"	182.6	50.4	"1,230"	206.9	57.1	"$168,001 - $169,000"	"1,390"	234.9	64.9	"1,500"	252.7	69.8	"1,630"	274.7	75.8		
"$245,001 - $250,000"	240	59.4	21.1	360	89.2	31.7	300	74.2	26.3	360	89.0	31.6	360	89.1	31.6	590	146.2	51.8	610	150.8	53.5	610	151.2	53.6	680	168.4	59.3	"$169,001 - $170,000"	350	59.3	18.9	550	93.2	27.7	650	110.2	30.5	930	157.6	43.6	970	164.5	45.5	950	161.1	44.5	"1,080"	183.3	50.6	"1,190"	201.8	55.6	"1,270"	215.6	59.6	"$169,001 - $170,000"	"1,370"	232.4	64.3	"1,550"	262.6	72.6	"1,710"	289.7	80.1		
"Over $250,000"	"5,470.0"	"2,353.3"	870.1	"6,600"	"2,982.6"	"1,105.5"	"6,800"	"3,151.3"	"1,169.9"	"7,980"	"4,131.2"	"1,541.5"	"9,150"	"5,272.1"	"1,976.2"	"10,120"	"4,988.0"	"1,857.0"	"11,550"	"5,349.0"	"1,985.1"	"13,240"	"5,996.1"	"2,222.9"	"13,270"	"6,559.5"	"2,432.7"	"$170,001 - $171,000"	430	73.3	23.3	690	117.6	35.0	640	109.2	30.2	710	121.0	33.5	570	97.2	26.9	770	131.2	36.3	970	164.9	45.4	"1,090"	186.0	51.4	"1,230"	209.4	57.9	"$170,001 - $171,000"	"1,330"	225.9	62.5	"1,480"	251.6	69.6	"1,610"	274.8	76.0		
																												"$171,001 - $172,000"	540	92.6	29.5	610	104.6	31.2	690	118.3	32.8	630	108.0	29.9	750	128.6	35.6	"1,040"	178.4	49.4	"1,020"	174.1	48.1	"1,040"	177.9	49.1	"1,080"	185.7	51.5	"$171,001 - $172,000"	"1,250"	214.7	59.5	"1,420"	243.9	67.6	"1,520"	260.2	72.1		
Total	"3,012,100"	"74,085"	"16,491"	"3,076,090"	"79,230"	"17,780"	"3,130,660"	"82,747"	"18,654"	"3,191,500"	"88,991"	"20,421"	"3,266,280"	"95,187"	"22,196"	"3,336,210"	"100,189"	"23,543"	"3,366,670"	"106,086"	"25,192"	"3,425,160"	"113,196"	"27,222"	"3,444,960"	"118,174"	"27,638"	"$172,001 - $173,000"	320	55.2	17.6	510	87.9	26.2	650	112.1	31.1	900	155.2	43.1	"1,140"	196.6	54.5	850	146.6	40.7	960	165.3	45.7	"1,020"	176.5	48.8	"1,050"	181.0	50.2	"$172,001 - $173,000"	"1,220"	210.8	58.5	"1,340"	231.3	64.2	"1,590"	273.6	75.9		
																												"$173,001 - $174,000"	440	76.3	24.4	580	100.6	30.0	440	76.4	21.2	970	168.3	46.7	"1,020"	177.0	49.1	650	112.8	31.3	890	154.9	42.9	990	171.9	47.4	"1,080"	187.5	52.1	"$173,001 - $174,000"	"1,230"	213.4	59.3	"1,380"	239.1	66.4	"1,510"	262.0	72.7		
																												"$174,001 - $175,000"	550	95.9	30.7	410	71.5	21.4	620	108.2	30.1	920	160.6	44.6	760	132.7	36.9	940	164.1	45.6	990	173.0	48.0	"1,100"	192.4	53.4	"1,160"	201.6	56.0	"$174,001 - $175,000"	"1,160"	202.8	56.4	"1,400"	244.7	68.0	"1,520"	264.6	73.5		
																												"$175,001 - $176,000"	500	87.8	28.1	520	91.3	27.3	470	82.5	22.9	870	152.7	42.5	770	135.2	37.6	820	143.9	40.0	910	159.9	44.3	"1,000"	175.1	48.7	"1,050"	184.6	51.4	"$175,001 - $176,000"	"1,190"	208.8	58.1	"1,400"	245.0	68.2	"1,500"	263.8	73.4		
																												"$176,001 - $177,000"	390	68.8	22.1	420	74.2	22.2	530	93.6	26.1	790	139.4	38.8	800	141.2	39.3	890	157.0	43.7	910	160.8	44.7	980	173.0	48.0	"1,100"	193.4	53.9	"$176,001 - $177,000"	"1,130"	200.2	55.8	"1,260"	222.6	62.0	"1,480"	260.9	72.7		
																												"$177,001 - $178,000"	560	99.4	31.9	460	81.7	24.5	830	147.3	41.1	520	92.3	25.7	610	108.3	30.2	940	167.0	46.6	930	165.1	45.8	980	174.2	48.4	"1,080"	190.8	53.2	"$177,001 - $178,000"	"1,080"	191.7	53.5	"1,280"	227.4	63.4	"1,420"	252.6	70.4		
																												"$178,001 - $179,000"	440	78.5	25.2	250	44.6	13.4	830	148.1	41.4	570	101.8	28.4	570	101.8	28.4	990	176.8	49.3	"1,040"	186.0	51.9	"1,090"	195.2	54.4	"1,000"	179.0	50.0	"$178,001 - $179,000"	"1,130"	201.7	56.3	"1,200"	214.0	59.7	"1,370"	244.5	68.3		
																												"$179,001 - $180,000"	670	120.3	38.7	530	95.1	28.6	450	80.8	22.6	710	127.4	35.6	710	127.5	35.6	800	143.6	40.1	900	162.1	45.2	"1,110"	198.6	55.4	"1,120"	200.2	55.9	"$179,001 - $180,000"	"1,150"	207.2	57.9	"1,380"	248.1	69.3	"1,680"	301.0	84.1		
																												"$180,001 - $181,000"	430	77.6	25.0	280	50.6	15.2	500	90.3	25.2	640	115.6	32.3	680	122.8	34.3	690	124.4	34.8	810	146.9	41.0	920	166.1	46.4	"1,050"	189.5	53.0	"$180,001 - $181,000"	"1,110"	200.3	56.0	"1,320"	237.9	66.5	"1,550"	279.3	78.1		
																												"$181,001 - $182,000"	300	54.5	17.6	650	118.0	35.5	550	99.8	27.9	750	136.1	38.1	710	128.8	36.1	600	108.9	30.5	830	150.1	42.0	820	147.9	41.3	960	175.0	49.0	"$181,001 - $182,000"	"1,020"	185.3	51.9	"1,200"	217.4	60.9	"1,290"	233.8	65.4		
																												"$182,001 - $183,000"	600	109.5	35.3	300	54.8	16.5	570	104.0	29.1	430	78.5	22.0	670	122.2	34.3	780	142.3	39.9	750	136.5	38.3	840	154.0	43.1	900	163.3	45.8	"$182,001 - $183,000"	"1,010"	184.0	51.6	"1,180"	215.0	60.2	"1,210"	221.0	61.9		
